W WARNING: You specified different values for --load_checkpoint_dir and --save_checkpoint_dir, but you are running training and testing in a single invocation. The testing step will respect --load_checkpoint_dir, and thus WILL NOT TEST THE CHECKPOINT CREATED BY THE TRAINING STEP. Train and test in two separate invocations, specifying the correct --load_checkpoint_dir in both cases, or use the same location for loading and saving.
I Loading best validating checkpoint from pretrained/best_dev-732522
I Loading variable from checkpoint: beta1_power
I Loading variable from checkpoint: beta2_power
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel/Adam
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel/Adam_1
I Loading variable from checkpoint: global_step
I Loading variable from checkpoint: layer_1/bias
I Loading variable from checkpoint: layer_1/weights
I Loading variable from checkpoint: layer_2/bias
I Loading variable from checkpoint: layer_2/weights
I Loading variable from checkpoint: layer_3/bias
I Loading variable from checkpoint: layer_3/weights
I Loading variable from checkpoint: layer_5/bias
I Loading variable from checkpoint: layer_5/weights
I Initializing variable: layer_6/bias
I Initializing variable: layer_6/bias/Adam
I Initializing variable: layer_6/bias/Adam_1
I Initializing variable: layer_6/weights
I Initializing variable: layer_6/weights/Adam
I Initializing variable: layer_6/weights/Adam_1
I Initializing variable: learning_rate
I STARTING Optimization
Epoch 0 |   Training | Elapsed Time: 0:00:00 | Steps: 0 | Loss: 0.000000
Epoch 0 |   Training | Elapsed Time: 0:00:03 | Steps: 1 | Loss: 261.779449
Epoch 0 |   Training | Elapsed Time: 0:00:03 | Steps: 2 | Loss: 261.612640
Epoch 0 |   Training | Elapsed Time: 0:00:03 | Steps: 3 | Loss: 246.893112
Epoch 0 |   Training | Elapsed Time: 0:00:03 | Steps: 4 | Loss: 231.256027
Epoch 0 |   Training | Elapsed Time: 0:00:03 | Steps: 5 | Loss: 207.436552
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 6 | Loss: 189.643504
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 7 | Loss: 176.969683
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 8 | Loss: 166.165053
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 9 | Loss: 156.056684
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 10 | Loss: 147.659564
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 11 | Loss: 142.052832
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 12 | Loss: 136.579291
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 13 | Loss: 131.925704
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 14 | Loss: 128.179627
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 15 | Loss: 124.860896
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 16 | Loss: 121.650477
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 17 | Loss: 119.322419
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 18 | Loss: 116.982066
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 19 | Loss: 114.988796
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 20 | Loss: 113.140236
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 21 | Loss: 111.578881
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 22 | Loss: 110.120542
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 23 | Loss: 108.797360
