W WARNING: You specified different values for --load_checkpoint_dir and --save_checkpoint_dir, but you are running training and testing in a single invocation. The testing step will respect --load_checkpoint_dir, and thus WILL NOT TEST THE CHECKPOINT CREATED BY THE TRAINING STEP. Train and test in two separate invocations, specifying the correct --load_checkpoint_dir in both cases, or use the same location for loading and saving.
I Loading best validating checkpoint from pretrained/best_dev-732522
I Loading variable from checkpoint: beta1_power
I Loading variable from checkpoint: beta2_power
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel/Adam
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel/Adam_1
I Loading variable from checkpoint: global_step
I Loading variable from checkpoint: layer_1/bias
I Loading variable from checkpoint: layer_1/weights
I Loading variable from checkpoint: layer_2/bias
I Loading variable from checkpoint: layer_2/weights
I Loading variable from checkpoint: layer_3/bias
I Loading variable from checkpoint: layer_3/weights
I Loading variable from checkpoint: layer_5/bias
I Loading variable from checkpoint: layer_5/bias/Adam
I Loading variable from checkpoint: layer_5/bias/Adam_1
I Loading variable from checkpoint: layer_5/weights
I Loading variable from checkpoint: layer_5/weights/Adam
I Loading variable from checkpoint: layer_5/weights/Adam_1
I Initializing variable: layer_6/bias
I Initializing variable: layer_6/bias/Adam
I Initializing variable: layer_6/bias/Adam_1
I Initializing variable: layer_6/weights
I Initializing variable: layer_6/weights/Adam
I Initializing variable: layer_6/weights/Adam_1
I Initializing variable: learning_rate
I STARTING Optimization
Epoch 0 |   Training | Elapsed Time: 0:00:00 | Steps: 0 | Loss: 0.000000
Epoch 0 |   Training | Elapsed Time: 0:00:03 | Steps: 1 | Loss: 261.779449
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 2 | Loss: 240.345818
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 3 | Loss: 193.996981
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 4 | Loss: 168.104633
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 5 | Loss: 150.337143
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 6 | Loss: 135.675326
Epoch 0 |   Training | Elapsed Time: 0:00:04 | Steps: 7 | Loss: 125.522794
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 8 | Loss: 118.967546
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 9 | Loss: 112.746254
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 10 | Loss: 107.830746
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 11 | Loss: 104.869781
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 12 | Loss: 101.455806
Epoch 0 |   Training | Elapsed Time: 0:00:05 | Steps: 13 | Loss: 98.987554
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 14 | Loss: 96.611855
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 15 | Loss: 94.650205
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 16 | Loss: 92.591096
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 17 | Loss: 91.189582
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 18 | Loss: 89.634748
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 19 | Loss: 88.379908
Epoch 0 |   Training | Elapsed Time: 0:00:06 | Steps: 20 | Loss: 87.171247
Epoch 0 |   Training | Elapsed Time: 0:00:07 | Steps: 21 | Loss: 86.033168
Epoch 0 |   Training | Elapsed Time: 0:00:07 | Steps: 22 | Loss: 85.003793
Epoch 0 |   Training | Elapsed Time: 0:00:07 | Steps: 23 | Loss: 83.967872
Epoch 0 |   Training | Elapsed Time: 0:00:07 | Steps: 24 | Loss: 83.235729
Epoch 0 |   Training | Elapsed Time: 0:00:07 | Steps: 25 | Loss: 82.261143
Epoch 0 |   Training | Elapsed Time: 0:00:08 | Steps: 26 | Loss: 81.591336
Epoch 0 |   Training | Elapsed Time: 0:00:08 | Steps: 27 | Loss: 80.561519
Epoch 0 |   Training | Elapsed Time: 0:00:08 | Steps: 28 | Loss: 79.768224
Epoch 0 |   Training | Elapsed Time: 0:00:08 | Steps: 29 | Loss: 78.947218
Epoch 0 |   Training | Elapsed Time: 0:00:08 | Steps: 30 | Loss: 78.114884
Epoch 0 |   Training | Elapsed Time: 0:00:08 | Steps: 31 | Loss: 77.695731
Epoch 0 |   Training | Elapsed Time: 0:00:09 | Steps: 32 | Loss: 76.811009
Epoch 0 |   Training | Elapsed Time: 0:00:09 | Steps: 33 | Loss: 76.544776
Epoch 0 |   Training | Elapsed Time: 0:00:09 | Steps: 34 | Loss: 75.892942
Epoch 0 |   Training | Elapsed Time: 0:00:09 | Steps: 35 | Loss: 75.305638
Epoch 0 |   Training | Elapsed Time: 0:00:09 | Steps: 36 | Loss: 74.814594
Epoch 0 |   Training | Elapsed Time: 0:00:09 | Steps: 37 | Loss: 74.361449
